,점포명,제품군,판매량(int)
825,(4006)NB예천호명점,B Type,39
191,(1638)NB대전세이점,S Type,39
851,(4016)NB남양주진접점,S Type,39
912,(4044)NB남양주도곡점,B Type,39
1322,(4536)NBFC고양행신중앙점,S Type,39
1841,(K96)구미옥계점,S Type,39
1026,(4101)NBR부천상동역점,B Type,39
1829,(K87)진량점,S Type,38
929,(4050)NB천안청당점,S Type,38
1002,(4091)NBR오산갈곶동점,B Type,38
1820,(K81)율하점,S Type,38
1901,(L23)걸포동점,S Type,38
1091,(4128)NBR수원호매실2점,S Type,38
227,(1655)NB양주덕정점,S Type,38
1112,(4135)NBR파주야당점,S Type,38
1185,(4163)NBR부천옥길STF점,B Type,38
716,(2738)F포항학천점,S Type,38
1682,(A23)장기동점,S Type,38
941,(4061)NB구리갈매점,S Type,38
983,(4079)NBR인천청라스퀘어점,S Type,37
347,(1697)NB김해진영점,S Type,37
1272,(4520)NBFC대전관저2점,B Type,37
1220,(4500)NBFC군포산본역점,S Type,37
329,(1691)NB경산정평점,S Type,37
827,(4006)NB예천호명점,S Type,37
1164,(4154)NBR양주광사점,B Type,37
1313,(4533)NBFC인천청학점,S Type,36
201,(1644)NB구미선산시장점,B Type,36
122,(1613)NB김포장기점,S Type,36
1226,(4502)NBFC진해용원점,S Type,36
1296,(4528)NBFC진주MBC점,B Type,35
1172,(4156)NBR울산방어점,S Type,35
1772,(K51)방촌동점,S Type,35
1247,(4510)NBFC구미확장점,S Type,35
1004,(4091)NBR오산갈곶동점,S Type,35
1181,(4161)NBR세종조치원점,S Type,35
1094,(4129)NBR하남천현점,S Type,34
114,(1611)NB파주동패점,B Type,34
1203,(4169)NBR주문진시장점,B Type,34
857,(4018)NB인천마전점,S Type,34
149,(1623)NB시흥아웃렛점,S Type,34
1118,(4137)NBR고양위시티점,S Type,33
984,(4082)NBR울산성남점,B Type,33
158,(1626)NB평택비전점,S Type,33
822,(4005)NB양산물금2점,B Type,33
818,(4003)NB부산다대점,S Type,32
914,(4044)NB남양주도곡점,S Type,32
1347,(4545)NBFC원주단계점,B Type,31
344,(1696)NB대전지족점,S Type,31
1346,(4544)NBFC대구율하점,S Type,31
735,(2756)F능평점,B Type,31
717,(2739)F포항양덕점,B Type,31
1238,(4507)NBFC대구유가점,S Type,30
987,(4084)NB대구월배시장점,B Type,30
974,(4075)NB김포장기청송점,S Type,30
1724,(K19)보령점,S Type,29
816,(4003)NB부산다대점,B Type,29
1116,(4137)NBR고양위시티점,B Type,29
746,(2762)F경주용강점,S Type,29
1194,(4166)NBR대전산성시장점,B Type,29
147,(1623)NB시흥아웃렛점,B Type,29
923,(4048)NB인천가정점,S Type,29
1191,(4165)NBR울산삼산점,B Type,29
867,(4022)NB익산부송점,B Type,28
764,(2770)F불로점,S Type,28
1274,(4520)NBFC대전관저2점,S Type,28
921,(4048)NB인천가정점,B Type,28
1205,(4169)NBR주문진시장점,S Type,27
824,(4005)NB양산물금2점,S Type,27
656,(2653)부산구포점,S Type,27
1100,(4131)NBR인천마전2점,S Type,27
1668,(A09)삼성동점,B Type,27
335,(1693)NB평택비전2점,S Type,26
1199,(4167)NBR장승백이시장점,S Type,26
536,(2523)신곡점,S Type,26
1025,(4100)NBR인천논현역점,S Type,26
1223,(4501)NBFC울산무거점,S Type,25
368,(1708)피코크STF부천점,S Type,25
879,(4029)NB용인성복점,B Type,25
1115,(4136)NBR용인구갈점,S Type,25
1145,(4146)NBR논산내동점,S Type,25
1335,(4541)NBFC속초조양점,B Type,25
1133,(4142)NBR평택서정점,S Type,25
458,(2232)호구포역점,S Type,24
869,(4022)NB익산부송점,S Type,24
1047,(4111)NBR인천심곡점,B Type,24
491,(2332)부산신호점,S Type,24
815,(4001)NB김포풍무TR점,S Type,24
309,(1685)NB동대문두타몰점,B Type,24
287,(1676)NB의정부민락2점,S Type,24
189,(1638)NB대전세이점,B Type,24
930,(4051)NB대전용계점,B Type,23
233,(1657)NB포천소흘점,S Type,23
947,(4063)NB창원대동점,S Type,23
737,(2756)F능평점,S Type,23
972,(4075)NB김포장기청송점,B Type,23
263,(1668)NB이천안흥점,S Type,23
1109,(4134)NBR인천불로동점,S Type,23
986,(4082)NBR울산성남점,S Type,23
1098,(4131)NBR인천마전2점,B Type,23
1275,(4521)NBFC강릉교동점,B Type,22
1119,(4138)NBR구미진평점,B Type,22
1008,(4093)NBR고양마두점,B Type,22
1317,(4535)NBFC울산범서점,B Type,22
1124,(4139)NBR천안용곡점,S Type,21
1337,(4541)NBFC속초조양점,S Type,21
221,(1653)NB화성봉담점,S Type,21
1254,(4514)NBFC경산사동점,B Type,21
431,(2133)천안성거점,S Type,21
1113,(4136)NBR용인구갈점,B Type,21
1035,(4107)NBR인천송도센트럴점,B Type,20
1196,(4166)NBR대전산성시장점,S Type,20
813,(4001)NB김포풍무TR점,B Type,20
981,(4079)NBR인천청라스퀘어점,B Type,20
995,(4088)NBR보령동대점,S Type,20
1136,(4143)NBR원주지정점,S Type,19
1256,(4514)NBFC경산사동점,S Type,19
1200,(4168)NBR문경중앙시장점,B Type,19
1277,(4521)NBFC강릉교동점,S Type,18
327,(1691)NB경산정평점,B Type,18
1283,(4523)NBFC경산백천점,S Type,18
992,(4085)NBR양주LF점,S Type,18
1349,(4545)NBFC원주단계점,S Type,18
866,(4021)NB대전둔산점,S Type,17
1202,(4168)NBR문경중앙시장점,S Type,16
1190,(4164)NBR파주아울렛점,S Type,16
534,(2523)신곡점,B Type,16
989,(4084)NB대구월배시장점,S Type,16
305,(1682)NB여주한글시장점,S Type,16
1121,(4138)NBR구미진평점,S Type,16
315,(1687)NB대전가오점,B Type,16
1046,(4110)NBR김해구산점,S Type,15
311,(1685)NB동대문두타몰점,S Type,15
722,(2741)F영주가흥점,S Type,14
317,(1687)NB대전가오점,S Type,14
1128,(4141)NBR위례STF점,B Type,14
1193,(4165)NBR울산삼산점,S Type,13
890,(4032)NB서울경동시장점,S Type,13
1289,(4525)NBFC문경모전점,S Type,12
741,(2761)F김포구래점,B Type,12
203,(1644)NB구미선산시장점,S Type,12
366,(1708)피코크STF부천점,B Type,12
1049,(4111)NBR인천심곡점,S Type,11
728,(2746)F금곡점,S Type,11
1319,(4535)NBFC울산범서점,S Type,11
1868,(L08)적성점,S Type,11
888,(4032)NB서울경동시장점,B Type,10
713,(2735)F보령신흑점,S Type,9
710,(2710)F궁내점,S Type,9
285,(1676)NB의정부민락2점,B Type,9
711,(2735)F보령신흑점,B Type,8
1163,(4153)NBR통영광도점,S Type,8
767,(2771)F세류점,S Type,8
1184,(4162)NBR삼척중앙시장점,S Type,3
708,(2710)F궁내점,B Type,2
172,(1631)NB고양풍동점,C Type,0
1186,(4163)NBR부천옥길STF점,C Type,0
1327,(4538)NBFC포항양덕점,C Type,0
154,(1625)NB강서가양점,C Type,0
1817,(K80)남부터미널,S Type,0
1192,(4165)NBR울산삼산점,C Type,0
1324,(4537)NBFC포항초곡점,C Type,0
853,(4017)NB아산배방점,C Type,0
949,(4064)NB진주초전점,C Type,0
970,(4074)NBR김포운양점,C Type,0
151,(1624)NB광명소하점,C Type,0
178,(1633)NB수원천천점,C Type,0
187,(1637)NB울산달동점,C Type,0
946,(4063)NB창원대동점,C Type,0
1345,(4544)NBFC대구율하점,C Type,0
943,(4062)NB대전가수원점,C Type,0
1321,(4536)NBFC고양행신중앙점,C Type,0
148,(1623)NB시흥아웃렛점,C Type,0
961,(4071)NB대전노은점,C Type,0
1815,(K80)남부터미널,B Type,0
865,(4021)NB대전둔산점,C Type,0
157,(1626)NB평택비전점,C Type,0
1330,(4539)NBFC대전가오2점,C Type,0
955,(4069)NB의정부신곡점,C Type,0
1336,(4541)NBFC속초조양점,C Type,0
862,(4020)NB강남한티역점,C Type,0
1318,(4535)NBFC울산범서점,C Type,0
181,(1634)NB세종아름점,C Type,0
967,(4073)NB파주목동동점,C Type,0
1803,(K75)분당정자점,B Type,0
163,(1628)NB인천서창점,C Type,0
166,(1629)NB세종소담점,C Type,0
898,(4035)NB부산아웃렛점,C Type,0
1805,(K75)분당정자점,S Type,0
1339,(4542)NBFC 충주호암,C Type,0
868,(4022)NB익산부송점,C Type,0
958,(4070)NB대전유성온천점,C Type,0
1806,(K76)개포점,B Type,0
1793,(K70)능동점,S Type,0
175,(1632)NB화성능동점,C Type,0
1189,(4164)NBR파주아울렛점,C Type,0
859,(4019)NB화성진안점,C Type,0
184,(1635)NB동대문장안점,C Type,0
1808,(K76)개포점,S Type,0
952,(4068)NBR강남대치역점,C Type,0
856,(4018)NB인천마전점,C Type,0
160,(1627)NB청주사천점,C Type,0
1333,(4540)NBFC구미송정점,C Type,0
169,(1630)NB판교운중점,C Type,0
1791,(K70)능동점,B Type,0
964,(4072)NBR인천원당점,C Type,0
1342,(4543)NBFC대구옥포점,C Type,0
1348,(4545)NBFC원주단계점,C Type,0
937,(4053)NB오산수청점,C Type,0
1195,(4166)NBR대전산성시장점,C Type,0
1267,(4518)NBFC안동옥동점,C Type,0
100,(1605)NB은평진관점,C Type,0
913,(4044)NB남양주도곡점,C Type,0
1252,(4513)NBFC대구봉무점,C Type,0
103,(1606)NB남양주호평점,C Type,0
1898,(L21)위시티점,S Type,0
1255,(4514)NBFC경산사동점,C Type,0
1896,(L21)위시티점,B Type,0
916,(4045)NB동탄더블루점,C Type,0
106,(1607)NB수원화서점,C Type,0
880,(4029)NB용인성복점,C Type,0
919,(4047)NB안산고잔점,C Type,0
109,(1608)NB인천논현점,C Type,0
1258,(4515)NBFC마산현동점,C Type,0
1261,(4516)NBFC진천덕산점,C Type,0
883,(4030)NB천안백석점,C Type,0
1264,(4517)NBFC춘천점,C Type,0
112,(1609)NB수원이의점,C Type,0
1249,(4511)NBFC인천당하점,C Type,0
1246,(4510)NBFC구미확장점,C Type,0
877,(4028)NB아산둔포점,C Type,0
1234,(4505)NBFC군산미장점,C Type,0
88,(1600)NB용인보라점,C Type,0
901,(4037) NB의왕포일점,C Type,0
1225,(4502)NBFC진해용원점,C Type,0
1228,(4503)NBFC전주송천점,C Type,0
1231,(4504)NBFC전주삼천점,C Type,0
904,(4038)NB구리인창점,C Type,0
91,(1602)NB스타필드하남점,C Type,0
1237,(4507)NBFC대구유가점,C Type,0
97,(1604)NB의정부민락점,C Type,0
1219,(4500)NBFC군포산본역점,C Type,0
1240,(4508)NBFC대구현풍점,C Type,0
94,(1603)NB용인신봉점,C Type,0
874,(4026)NB엔터식스한양대점,C Type,0
907,(4040)NB남양주화도2점,C Type,0
1243,(4509)NBFC울산유곡점,C Type,0
910,(4042)NB평택중앙로점,C Type,0
922,(4048)NB인천가정점,C Type,0
1204,(4169)NBR주문진시장점,C Type,0
145,(1622)NB남양주화도점,C Type,0
115,(1611)NB파주동패점,C Type,0
130,(1616)NB고양행신점,C Type,0
1297,(4528)NBFC진주MBC점,C Type,0
1300,(4529)NBFC대구사수점,C Type,0
133,(1617)NB대전탄방점,C Type,0
1303,(4530)NBFC대구학정점,C Type,0
871,(4023)NB수원호매실점,C Type,0
136,(1619)NB송파문정점,C Type,0
1844,(K98)양재점,S Type,0
1306,(4531)NBFC대구세천점,C Type,0
1842,(K98)양재점,B Type,0
1309,(4532)NBFC경주용강점,C Type,0
139,(1620)NB대전관저점,C Type,0
1312,(4533)NBFC인천청학점,C Type,0
1314,(4534)NBFC김포풍무점,B Type,0
940,(4061)NB구리갈매점,C Type,0
1315,(4534)NBFC김포풍무점,C Type,0
142,(1621)NB용인동천점,C Type,0
1198,(4167)NBR장승백이시장점,C Type,0
934,(4052)NB인천원창점,C Type,0
1294,(4527)NBFC진해풍호점,C Type,0
928,(4050)NB천안청당점,C Type,0
1270,(4519)NBFC진해자은점,C Type,0
1273,(4520)NBFC대전관저2점,C Type,0
1276,(4521)NBFC강릉교동점,C Type,0
118,(1612)NB안양평촌점,C Type,0
925,(4049)NB평택송담점,C Type,0
1279,(4522)NBFC천안성성점,C Type,0
1282,(4523)NBFC경산백천점,C Type,0
121,(1613)NB김포장기점,C Type,0
1291,(4526)NBFC칠곡왜관점,C Type,0
1866,(L08)적성점,B Type,0
1285,(4524)NBFC대구매천점,C Type,0
124,(1614)NB강남삼성점,C Type,0
931,(4051)NB대전용계점,C Type,0
1201,(4168)NBR문경중앙시장점,C Type,0
127,(1615)NB부산하단아트몰링점,C Type,0
1288,(4525)NBFC문경모전점,C Type,0
850,(4016)NB남양주진접점,C Type,0
1081,(4125)NBR대전중촌동점,C Type,0
190,(1638)NB대전세이점,C Type,0
1120,(4138)NBR구미진평점,C Type,0
298,(1680)NB화성반월점,C Type,0
1126,(4140)NBR수원영통역점,C Type,0
301,(1681)NB안성공도점,C Type,0
1042,(4109)NBR고양정발산점,C Type,0
1123,(4139)NBR천안용곡점,C Type,0
304,(1682)NB여주한글시장점,C Type,0
307,(1683)NB영등포여의도점,C Type,0
310,(1685)NB동대문두타몰점,C Type,0
295,(1679)NB양산물금점,C Type,0
313,(1686)NB화성반송점,C Type,0
1045,(4110)NBR김해구산점,C Type,0
316,(1687)NB대전가오점,C Type,0
319,(1688)NB고양신원점,C Type,0
1117,(4137)NBR고양위시티점,C Type,0
322,(1689)NB서울서초G5점,C Type,0
1048,(4111)NBR인천심곡점,C Type,0
1129,(4141)NBR위례STF점,C Type,0
1039,(4108)NBR화성향남행정점,C Type,0
1051,(4112)NBR화성동탄자이점,C Type,0
1135,(4143)NBR원주지정점,C Type,0
1027,(4101)NBR부천상동역점,C Type,0
271,(1671)NB원주무실점,C Type,0
1144,(4146)NBR논산내동점,C Type,0
1030,(4102)NBR서산예천점,C Type,0
1141,(4145)NBR화성동탄장지점,C Type,0
1138,(4144)NBR광주태전점,C Type,0
274,(1672)NB강남서초점,C Type,0
1033,(4103)NBR대전판암점,C Type,0
1132,(4142)NBR평택서정점,C Type,0
277,(1673)NB나주빛가람점,C Type,0
280,(1674)NB원주단구점,C Type,0
283,(1675)NB영등포양평점,C Type,0
286,(1676)NB의정부민락2점,C Type,0
289,(1677)NB강남역삼점,C Type,0
1036,(4107)NBR인천송도센트럴점,C Type,0
292,(1678)NB홍성홍북점,C Type,0
325,(1690)NB대전죽동점,C Type,0
328,(1691)NB경산정평점,C Type,0
847,(4015)NB대전문지점,C Type,0
1069,(4121)NBR평택용이점,C Type,0
1222,(4501)NBFC울산무거점,C Type,0
1060,(4117)NBR남양주평내점,C Type,0
1572,(958)이문점,B Type,0
485,(2330)서판교점,S Type,0
1063,(4118)NBR서대문신촌점,C Type,0
483,(2330)서판교점,B Type,0
1066,(4120)NBR광명역점,C Type,0
889,(4032)NB서울경동시장점,C Type,0
892,(4033)NB인천청라점,C Type,0
1087,(4127)NBR성남여수점,C Type,0
1072,(4122)NBR노원상계점,C Type,0
464,(2321)분당정자2,S Type,0
462,(2321)분당정자2,B Type,0
1075,(4123)NBR남양주다산점,C Type,0
1084,(4126)NBR화성반송2점,C Type,0
1078,(4124)NBR공주신관동점,C Type,0
367,(1708)피코크STF부천점,C Type,0
1090,(4128)NBR수원호매실2점,C Type,0
1114,(4136)NBR용인구갈점,C Type,0
1102,(4132)NBR성남이매2점,C Type,0
331,(1692)NB서초방배점,C Type,0
1111,(4135)NBR파주야당점,C Type,0
334,(1693)NB평택비전2점,C Type,0
1108,(4134)NBR인천불로동점,C Type,0
337,(1694)NB양주옥정점,C Type,0
1105,(4133)NBR노원중계점,C Type,0
340,(1695)NB세종나성점,C Type,0
343,(1696)NB대전지족점,C Type,0
1057,(4115)NBR평택동삭점,C Type,0
1054,(4113)NBR부천중동점,C Type,0
346,(1697)NB김해진영점,C Type,0
1099,(4131)NBR인천마전2점,C Type,0
349,(1698)NB용인청덕점,C Type,0
1096,(4130)NBR의정부호원점,C Type,0
1093,(4129)NBR하남천현점,C Type,0
352,(1699)NB남양주별내점,C Type,0
268,(1670)NB시흥목감점,C Type,0
651,(2652)동탄카림점,B Type,0
265,(1669)NB원주반곡점,C Type,0
1731,(K26)당동점,B Type,0
826,(4006)NB예천호명점,C Type,0
217,(1652)NB고양도내점,C Type,0
823,(4005)NB양산물금2점,C Type,0
820,(4004)NB충주중앙탑점,C Type,0
988,(4084)NB대구월배시장점,C Type,0
1733,(K26)당동점,S Type,0
220,(1653)NB화성봉담점,C Type,0
223,(1654)NB용인죽전점,C Type,0
211,(1649)NB의정부녹양점,C Type,0
1180,(4161)NBR세종조치원점,C Type,0
991,(4085)NBR양주LF점,C Type,0
817,(4003)NB부산다대점,C Type,0
994,(4088)NBR보령동대점,C Type,0
226,(1655)NB양주덕정점,C Type,0
814,(4001)NB김포풍무TR점,C Type,0
229,(1656)NB화성향남점,C Type,0
985,(4082)NBR울산성남점,C Type,0
829,(4007)NB시흥정왕점,C Type,0
653,(2652)동탄카림점,S Type,0
202,(1644)NB구미선산시장점,C Type,0
193,(1641)NB강남터미널점,C Type,0
973,(4075)NB김포장기청송점,C Type,0
844,(4014)NB하남미사2동점,C Type,0
196,(1642)NB파주와동점,C Type,0
841,(4013)NB남양주퇴계원점,C Type,0
199,(1643)NB수원망포점,C Type,0
1183,(4162)NBR삼척중앙시장점,C Type,0
976,(4076)NBR대전관평점,C Type,0
832,(4008)NB부천상동점,C Type,0
205,(1645)NB남양주오남점,C Type,0
838,(4012)NB하남미사1동점,C Type,0
979,(4078)NB화성남양점,C Type,0
835,(4009)NB마리오아울렛점,C Type,0
982,(4079)NBR인천청라스퀘어점,C Type,0
208,(1648)NB용인상현점,C Type,0
1182,(4162)NBR삼척중앙시장점,B Type,0
232,(1657)NB포천소흘점,C Type,0
997,(4089)NBR인천송도점,C Type,0
811,(4000)NB군포당동TR점,C Type,0
259,(1667)NB진주충무공점,C Type,0
253,(1665)NB김천율곡점,C Type,0
1012,(4095)NBR화성동탄리치안점,C Type,0
256,(1666)NB강남세곡점,C Type,0
719,(2739)F포항양덕점,S Type,0
1015,(4097)NBR광주초월점,C Type,0
1162,(4153)NBR통영광도점,C Type,0
1018,(4098)NBR화성수원대점,C Type,0
1159,(4151)NBR수원호매실3점,C Type,0
1712,(K11)사당동점,S Type,0
262,(1668)NB이천안흥점,C Type,0
895,(4034)NB수원오목천점,C Type,0
1156,(4150)NBR파주다율점,C Type,0
1153,(4149)NBR안산이동점,C Type,0
1024,(4100)NBR인천논현역점,C Type,0
1150,(4148)NBR당진원당점,C Type,0
1147,(4147)NBR대전갈마점,C Type,0
1009,(4093)NBR고양마두점,C Type,0
1165,(4154)NBR양주광사점,C Type,0
1006,(4092)NBR용인삼가점,C Type,0
250,(1664)NB천안불당점,C Type,0
235,(1658)NB스타필드고양점,C Type,0
1710,(K11)사당동점,B Type,0
1709,(K10)성북동점,S Type,0
1177,(4160)NBR일산주엽점,C Type,0
1707,(K10)성북동점,B Type,0
238,(1660)NB천안신방점,C Type,0
1174,(4157)NBR홍성남장점,C Type,0
241,(1661)NB오산금암점,C Type,0
1000,(4090)NBR강서마곡점,C Type,0
1171,(4156)NBR울산방어점,C Type,0
886,(4031)NB천안신방2점,C Type,0
244,(1662)NB성남위례점,C Type,0
1168,(4155)NBR부천상이동점,C Type,0
1003,(4091)NBR오산갈곶동점,C Type,0
247,(1663)NB울산신천점,C Type,0
214,(1651)NB평택청북점,C Type,0
